model,fold,test_subject,test_samples,accuracy,macro_precision,macro_recall,macro_f1
Logistic Regression,1,S10,149,0.3288590604026846,0.5665878644602048,0.5078196035642843,0.3024478804885423
Logistic Regression,2,S11,144,0.4791666666666667,0.7448979591836734,0.6753246753246754,0.4769327335495345
Logistic Regression,3,S13,145,0.8206896551724138,0.7251411202778985,0.6643217893217893,0.6262824140583053
Logistic Regression,4,S14,145,0.8275862068965517,0.57085346215781,0.6590909090909091,0.6101851851851853
Logistic Regression,5,S15,145,0.3931034482758621,0.6098237274707863,0.5371355697442654,0.41413292232964366
Logistic Regression,6,S16,143,0.4825174825174825,0.7457044673539519,0.6796536796536796,0.4861111111111111
Logistic Regression,7,S17,149,0.7315436241610739,0.7359748427672956,0.7589334424440808,0.7169989492077647
Logistic Regression,8,S2,137,0.6642335766423357,0.7679155515908415,0.568130806391676,0.5298391674550614
Logistic Regression,9,S3,138,0.7391304347826086,0.5944543961785341,0.5918288383823909,0.5732959850606909
Logistic Regression,10,S4,141,0.5531914893617021,0.5615615615615616,0.34959349593495936,0.30195249347096137
Logistic Regression,11,S5,144,0.7222222222222222,0.651610644257703,0.6752136752136751,0.6602505561409672
Logistic Regression,12,S6,143,0.7902097902097902,0.7820855614973262,0.6693722943722943,0.6472513149932505
Logistic Regression,13,S7,143,0.16783216783216784,0.055944055944055944,0.3333333333333333,0.09580838323353293
Logistic Regression,14,S8,142,0.45774647887323944,0.7240794573643411,0.6353351781881397,0.4607929718840731
Logistic Regression,15,S9,143,0.6853146853146853,0.7414814814814815,0.6239581674364283,0.5195477277669059
Random Forest,1,S10,149,0.5838926174496645,0.5190476190476191,0.39716312056737585,0.3456749672346003
Random Forest,2,S11,144,0.7430555555555556,0.6706799336650082,0.6162243553547901,0.5602023031434796
Random Forest,3,S13,145,0.7448275862068966,0.5584795321637427,0.5681818181818182,0.5443164630599185
Random Forest,4,S14,145,0.7517241379310344,0.5166666666666667,0.6147186147186147,0.5417234590337725
Random Forest,5,S15,145,0.7241379310344828,0.5654761904761905,0.537878787878788,0.5272053372868791
Random Forest,6,S16,143,0.8391608391608392,0.59,0.6666666666666666,0.623352165725047
Random Forest,7,S17,149,0.8187919463087249,0.5658585858585858,0.6538461538461539,0.6055099306890326
Random Forest,8,S2,137,0.5474452554744526,0.18248175182481752,0.3333333333333333,0.23584905660377356
Random Forest,9,S3,138,0.717391304347826,0.5086726998491704,0.5510876730388925,0.5199500624219725
Random Forest,10,S4,141,0.5460992907801419,0.5142857142857142,0.34146341463414637,0.2504409171075838
Random Forest,11,S5,144,0.6736111111111112,0.5131084601672837,0.577991452991453,0.5253413253413254
Random Forest,12,S6,143,0.7692307692307693,0.6406186406186406,0.6396103896103896,0.6193654324911276
Random Forest,13,S7,143,0.43356643356643354,0.517218350754936,0.5961538461538461,0.419090874292736
Random Forest,14,S8,142,0.7112676056338029,0.7490981240981242,0.7730163376084297,0.7096839579713742
Random Forest,15,S9,143,0.7412587412587412,0.4889070368858037,0.5848595848595849,0.5280091458435408
Support Vector Machine,1,S10,149,0.4563758389261745,0.6094043887147336,0.5916757592289507,0.4241947374075268
Support Vector Machine,2,S11,144,0.5138888888888888,0.7398453398453398,0.6868059476755128,0.5209880837807229
Support Vector Machine,3,S13,145,0.7931034482758621,0.5801282051282052,0.6212121212121212,0.5925526658581504
Support Vector Machine,4,S14,145,0.8344827586206897,0.553656220322887,0.6666666666666666,0.604875283446712
